股票代码,东财行业,证监会行业
688266,医药生物-化学制药-化学制剂,制造业-医药制造业
603839,纺织服装-服装家纺-服装,制造业-纺织服装、服饰业
833284,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
002166,医药生物-生物医药-生物医药,制造业-医药制造业
300485,医药生物-化学制药-化学制剂,制造业-医药制造业
301035,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
600817,机械设备-专用设备-环保设备,制造业-专用设备制造业
301618,纺织服装-纺织-印染,制造业-化学原料和化学制品制造业
603388,建筑-建筑施工-园林工程,建筑业-土木工程建筑业
920008,电子设备-电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业
002449,电子设备-光电子器件-LED,制造业-计算机、通信和其他电子设备制造业
300068,电气设备-电源设备-储能设备,制造业-电气机械和器材制造业
600305,食品饮料-食品-调味品,制造业-食品制造业
002295,有色金属-基本金属-铜,制造业-有色金属冶炼和压延加工业
300199,医药生物-化学制药-化学制剂,制造业-医药制造业
002277,商贸零售-零售-百货,批发和零售业-零售业
000026,轻工制造-珠宝首饰-珠宝首饰,批发和零售业-零售业
001279,轻工制造-造纸印刷-包装印刷,制造业-印刷和记录媒介复制业
002211,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
603076,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
688079,电子设备-光电子器件-光学元件,制造业-计算机、通信和其他电子设备制造业
603059,轻工制造-其他轻工-其他轻工,制造业-其他制造业
300311,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业
003003,轻工制造-造纸印刷-包装印刷,制造业-印刷和记录媒介复制业
688278,医药生物-生物医药-生物医药,制造业-医药制造业
833429,食品饮料-食品-食品综合,制造业-食品制造业
300119,农林牧渔-畜牧业-动物用药,制造业-医药制造业
300607,机械设备-机器人-工业机器人,制造业-通用设备制造业
688728,电子设备-半导体-集成电路,制造业-计算机、通信和其他电子设备制造业
002306,休闲、生活及专业服务-休闲服务-餐饮,住宿和餐饮业-餐饮业
300048,电气设备-电源设备-太阳能,制造业-电气机械和器材制造业
603992,家电-其他家电-其他家电,制造业-橡胶和塑料制品业
002900,医药生物-化学制药-化学制剂,制造业-医药制造业
600480,交运设备-汽车-汽车零部件,制造业-汽车制造业
600470,基础化工-化肥农药-磷肥,制造业-化学原料和化学制品制造业
600536,信息技术-计算机软件-基础软件,信息传输、软件和信息技术服务业-软件和信息技术服务业
002551,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
603739,农林牧渔-畜牧业-饲料,制造业-食品制造业
600505,公用事业-电力-水电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
688285,建筑-基础建设-铁路城轨建设,制造业-铁路、船舶、航空航天和其他运输设备制造业
002640,互联网-互联网商务-电子商务B2B,批发和零售业-零售业
688117,医药生物-化学制药-化学制剂,制造业-医药制造业
301096,医药生物-生物医药-生物医药,科学研究和技术服务业-研究和试验发展
600238,食品饮料-饮料-其他酒类,制造业-酒、饮料和精制茶制造业
000488,轻工制造-造纸印刷-造纸,制造业-造纸和纸制品业
002513,基础化工-化肥农药-农药,制造业-电气机械和器材制造业
688621,医药生物-生物医药-生物医药,科学研究和技术服务业-研究和试验发展
603711,食品饮料-饮料-软饮料,制造业-酒、饮料和精制茶制造业
